Company,Title,Description,Salary,Location,Skills
Compagnie7,Développeur Full Stack,Développement de solutions web complètes.,91780,Toronto,"JavaScript, React, Node.js, HTML, CSS"
Compagnie14,Architecte de systèmes cloud,Conception et déploiement d'architectures cloud.,94867,Vancouver,"AWS, Azure, Cloud Computing, Docker, Kubernetes"
Compagnie12,Développeur Full Stack,Développement de solutions web complètes.,74603,Toronto,"JavaScript, React, Node.js, HTML, CSS"
Compagnie3,Spécialiste en cybersécurité,Gestion de la sécurité des systèmes informatiques.,56022,Québec,"Sécurité réseau, Cryptographie, Firewall, VPN"
Compagnie10,Expert en IA,Développement de solutions basées sur l'intelligence artificielle.,77321,Calgary,"Machine Learning, Deep Learning, TensorFlow, PyTorch"
Compagnie8,Data Scientist,Analyse de données complexes pour extraire des insights.,76399,Vancouver,"Python, R, Machine Learning, Statistiques, SQL"
Compagnie5,Développeur Full Stack,Développement de solutions web complètes.,60840,Vancouver,"JavaScript, React, Node.js, HTML, CSS"
Compagnie17,Expert en IA,Développement de solutions basées sur l'intelligence artificielle.,92762,Vancouver,"Machine Learning, Deep Learning, TensorFlow, PyTorch"
Compagnie8,Développeur de jeux vidéo,Création de jeux vidéo interactifs.,114504,Montréal,"Unity, C#, 3D Modelling, Unreal Engine"
Compagnie9,Développeur de jeux vidéo,Création de jeux vidéo interactifs.,64815,Vancouver,"Unity, C#, 3D Modelling, Unreal Engine"
Compagnie4,Data Scientist,Analyse de données complexes pour extraire des insights.,60089,Montréal,"Python, R, Machine Learning, Statistiques, SQL"
Compagnie15,Ingénieur réseau,Mise en place et maintenance de réseaux informatiques.,56804,Ottawa,"Réseaux, TCP/IP, Sécurité réseau, Cisco, Juniper"
Compagnie16,Développeur Full Stack,Développement de solutions web complètes.,73238,Montréal,"JavaScript, React, Node.js, HTML, CSS"
Compagnie6,Ingénieur réseau,Mise en place et maintenance de réseaux informatiques.,76002,Ottawa,"Réseaux, TCP/IP, Sécurité réseau, Cisco, Juniper"
Compagnie7,Spécialiste en support technique,Assistance technique et résolution de problèmes.,111791,Montréal,"Support client, Dépannage, Windows OS"
Compagnie17,Architecte de systèmes cloud,Conception et déploiement d'architectures cloud.,56130,Ottawa,"AWS, Azure, Cloud Computing, Docker, Kubernetes"
Compagnie10,Administrateur de base de données,Gestion et maintenance des bases de données.,117372,Calgary,"SQL, MySQL, Oracle, DBMS"
Compagnie19,Architecte de systèmes cloud,Conception et déploiement d'architectures cloud.,71715,Toronto,"AWS, Azure, Cloud Computing, Docker, Kubernetes"
Compagnie18,Spécialiste en support technique,Assistance technique et résolution de problèmes.,104914,Ottawa,"Support client, Dépannage, Windows OS"
Compagnie2,Administrateur de base de données,Gestion et maintenance des bases de données.,87652,Calgary,"SQL, MySQL, Oracle, DBMS"
Compagnie17,Spécialiste en support technique,Assistance technique et résolution de problèmes.,105548,Toronto,"Support client, Dépannage, Windows OS"
Compagnie17,Architecte de systèmes cloud,Conception et déploiement d'architectures cloud.,55019,Ottawa,"AWS, Azure, Cloud Computing, Docker, Kubernetes"
Compagnie16,Expert en IA,Développement de solutions basées sur l'intelligence artificielle.,117711,Ottawa,"Machine Learning, Deep Learning, TensorFlow, PyTorch"
Compagnie15,Ingénieur réseau,Mise en place et maintenance de réseaux informatiques.,103092,Montréal,"Réseaux, TCP/IP, Sécurité réseau, Cisco, Juniper"
Compagnie16,Data Scientist,Analyse de données complexes pour extraire des insights.,82679,Vancouver,"Python, R, Machine Learning, Statistiques, SQL"
Compagnie16,Expert en IA,Développement de solutions basées sur l'intelligence artificielle.,98683,Calgary,"Machine Learning, Deep Learning, TensorFlow, PyTorch"
Compagnie3,Architecte de systèmes cloud,Conception et déploiement d'architectures cloud.,57501,Québec,"AWS, Azure, Cloud Computing, Docker, Kubernetes"
Compagnie1,Développeur Full Stack,Développement de solutions web complètes.,115053,Calgary,"JavaScript, React, Node.js, HTML, CSS"
Compagnie7,Ingénieur réseau,Mise en place et maintenance de réseaux informatiques.,53742,Ottawa,"Réseaux, TCP/IP, Sécurité réseau, Cisco, Juniper"
Compagnie12,Data Scientist,Analyse de données complexes pour extraire des insights.,48068,Calgary,"Python, R, Machine Learning, Statistiques, SQL"
Compagnie15,Spécialiste en cybersécurité,Gestion de la sécurité des systèmes informatiques.,107403,Montréal,"Sécurité réseau, Cryptographie, Firewall, VPN"
Compagnie2,Analyste de données,Traitement et visualisation de grandes quantités de données.,91615,Montréal,"SQL, Analyse de données, Tableau, BI, Excel"
Compagnie1,Spécialiste en cybersécurité,Gestion de la sécurité des systèmes informatiques.,57723,Vancouver,"Sécurité réseau, Cryptographie, Firewall, VPN"
Compagnie16,Architecte de systèmes cloud,Conception et déploiement d'architectures cloud.,64259,Toronto,"AWS, Azure, Cloud Computing, Docker, Kubernetes"
Compagnie18,Développeur de jeux vidéo,Création de jeux vidéo interactifs.,56162,Québec,"Unity, C#, 3D Modelling, Unreal Engine"
Compagnie6,Spécialiste en support technique,Assistance technique et résolution de problèmes.,60480,Québec,"Support client, Dépannage, Windows OS"
Compagnie1,Architecte de systèmes cloud,Conception et déploiement d'architectures cloud.,74053,Montréal,"AWS, Azure, Cloud Computing, Docker, Kubernetes"
Compagnie9,Analyste de données,Traitement et visualisation de grandes quantités de données.,78512,Ottawa,"SQL, Analyse de données, Tableau, BI, Excel"
Compagnie4,Développeur de jeux vidéo,Création de jeux vidéo interactifs.,48092,Québec,"Unity, C#, 3D Modelling, Unreal Engine"
Compagnie17,Développeur de jeux vidéo,Création de jeux vidéo interactifs.,111054,Vancouver,"Unity, C#, 3D Modelling, Unreal Engine"
Compagnie13,Ingénieur réseau,Mise en place et maintenance de réseaux informatiques.,52290,Vancouver,"Réseaux, TCP/IP, Sécurité réseau, Cisco, Juniper"
Compagnie18,Développeur de jeux vidéo,Création de jeux vidéo interactifs.,102206,Toronto,"Unity, C#, 3D Modelling, Unreal Engine"
Compagnie20,Architecte de systèmes cloud,Conception et déploiement d'architectures cloud.,52244,Vancouver,"AWS, Azure, Cloud Computing, Docker, Kubernetes"
Compagnie9,Expert en IA,Développement de solutions basées sur l'intelligence artificielle.,40663,Calgary,"Machine Learning, Deep Learning, TensorFlow, PyTorch"
Compagnie20,Spécialiste en cybersécurité,Gestion de la sécurité des systèmes informatiques.,61290,Ottawa,"Sécurité réseau, Cryptographie, Firewall, VPN"
Compagnie18,Spécialiste en cybersécurité,Gestion de la sécurité des systèmes informatiques.,52436,Toronto,"Sécurité réseau, Cryptographie, Firewall, VPN"
Compagnie11,Data Scientist,Analyse de données complexes pour extraire des insights.,66408,Calgary,"Python, R, Machine Learning, Statistiques, SQL"
Compagnie2,Architecte de systèmes cloud,Conception et déploiement d'architectures cloud.,110779,Vancouver,"AWS, Azure, Cloud Computing, Docker, Kubernetes"
Compagnie1,Spécialiste en support technique,Assistance technique et résolution de problèmes.,69859,Calgary,"Support client, Dépannage, Windows OS"
Compagnie2,Développeur de jeux vidéo,Création de jeux vidéo interactifs.,89485,Montréal,"Unity, C#, 3D Modelling, Unreal Engine"
Compagnie20,Développeur Full Stack,Développement de solutions web complètes.,60865,Ottawa,"JavaScript, React, Node.js, HTML, CSS"
Compagnie6,Data Scientist,Analyse de données complexes pour extraire des insights.,87738,Toronto,"Python, R, Machine Learning, Statistiques, SQL"
Compagnie15,Spécialiste en cybersécurité,Gestion de la sécurité des systèmes informatiques.,52456,Vancouver,"Sécurité réseau, Cryptographie, Firewall, VPN"
Compagnie11,Data Scientist,Analyse de données complexes pour extraire des insights.,71898,Vancouver,"Python, R, Machine Learning, Statistiques, SQL"
Compagnie2,Développeur Full Stack,Développement de solutions web complètes.,52105,Vancouver,"JavaScript, React, Node.js, HTML, CSS"
Compagnie10,Architecte de systèmes cloud,Conception et déploiement d'architectures cloud.,103607,Ottawa,"AWS, Azure, Cloud Computing, Docker, Kubernetes"
Compagnie17,Spécialiste en cybersécurité,Gestion de la sécurité des systèmes informatiques.,40211,Toronto,"Sécurité réseau, Cryptographie, Firewall, VPN"
Compagnie20,Architecte de systèmes cloud,Conception et déploiement d'architectures cloud.,108300,Vancouver,"AWS, Azure, Cloud Computing, Docker, Kubernetes"
Compagnie9,Expert en IA,Développement de solutions basées sur l'intelligence artificielle.,113735,Calgary,"Machine Learning, Deep Learning, TensorFlow, PyTorch"
Compagnie20,Expert en IA,Développement de solutions basées sur l'intelligence artificielle.,72012,Québec,"Machine Learning, Deep Learning, TensorFlow, PyTorch"
Compagnie20,Administrateur de base de données,Gestion et maintenance des bases de données.,56513,Ottawa,"SQL, MySQL, Oracle, DBMS"
Compagnie10,Spécialiste en support technique,Assistance technique et résolution de problèmes.,78978,Ottawa,"Support client, Dépannage, Windows OS"
Compagnie13,Analyste de données,Traitement et visualisation de grandes quantités de données.,75792,Calgary,"SQL, Analyse de données, Tableau, BI, Excel"
Compagnie6,Spécialiste en support technique,Assistance technique et résolution de problèmes.,78739,Vancouver,"Support client, Dépannage, Windows OS"
Compagnie19,Spécialiste en support technique,Assistance technique et résolution de problèmes.,73969,Calgary,"Support client, Dépannage, Windows OS"
Compagnie12,Architecte de systèmes cloud,Conception et déploiement d'architectures cloud.,68461,Toronto,"AWS, Azure, Cloud Computing, Docker, Kubernetes"
Compagnie16,Architecte de systèmes cloud,Conception et déploiement d'architectures cloud.,101692,Vancouver,"AWS, Azure, Cloud Computing, Docker, Kubernetes"
Compagnie10,Développeur de jeux vidéo,Création de jeux vidéo interactifs.,107985,Montréal,"Unity, C#, 3D Modelling, Unreal Engine"
Compagnie17,Développeur Full Stack,Développement de solutions web complètes.,118044,Calgary,"JavaScript, React, Node.js, HTML, CSS"
Compagnie1,Développeur de jeux vidéo,Création de jeux vidéo interactifs.,69499,Québec,"Unity, C#, 3D Modelling, Unreal Engine"
Compagnie18,Développeur de jeux vidéo,Création de jeux vidéo interactifs.,87336,Montréal,"Unity, C#, 3D Modelling, Unreal Engine"
Compagnie4,Ingénieur réseau,Mise en place et maintenance de réseaux informatiques.,86179,Vancouver,"Réseaux, TCP/IP, Sécurité réseau, Cisco, Juniper"
Compagnie14,Développeur de jeux vidéo,Création de jeux vidéo interactifs.,48000,Toronto,"Unity, C#, 3D Modelling, Unreal Engine"
Compagnie14,Ingénieur réseau,Mise en place et maintenance de réseaux informatiques.,53928,Ottawa,"Réseaux, TCP/IP, Sécurité réseau, Cisco, Juniper"
Compagnie8,Spécialiste en support technique,Assistance technique et résolution de problèmes.,66625,Montréal,"Support client, Dépannage, Windows OS"
Compagnie17,Analyste de données,Traitement et visualisation de grandes quantités de données.,62478,Ottawa,"SQL, Analyse de données, Tableau, BI, Excel"
Compagnie11,Spécialiste en cybersécurité,Gestion de la sécurité des systèmes informatiques.,83498,Toronto,"Sécurité réseau, Cryptographie, Firewall, VPN"
Compagnie9,Développeur de jeux vidéo,Création de jeux vidéo interactifs.,101822,Montréal,"Unity, C#, 3D Modelling, Unreal Engine"
Compagnie12,Expert en IA,Développement de solutions basées sur l'intelligence artificielle.,116716,Toronto,"Machine Learning, Deep Learning, TensorFlow, PyTorch"
Compagnie7,Spécialiste en cybersécurité,Gestion de la sécurité des systèmes informatiques.,68546,Calgary,"Sécurité réseau, Cryptographie, Firewall, VPN"
Compagnie6,Spécialiste en support technique,Assistance technique et résolution de problèmes.,40351,Montréal,"Support client, Dépannage, Windows OS"
Compagnie12,Développeur Full Stack,Développement de solutions web complètes.,87742,Montréal,"JavaScript, React, Node.js, HTML, CSS"
Compagnie5,Analyste de données,Traitement et visualisation de grandes quantités de données.,66577,Québec,"SQL, Analyse de données, Tableau, BI, Excel"
Compagnie1,Expert en IA,Développement de solutions basées sur l'intelligence artificielle.,87718,Ottawa,"Machine Learning, Deep Learning, TensorFlow, PyTorch"
Compagnie3,Architecte de systèmes cloud,Conception et déploiement d'architectures cloud.,100568,Québec,"AWS, Azure, Cloud Computing, Docker, Kubernetes"
Compagnie10,Spécialiste en support technique,Assistance technique et résolution de problèmes.,49056,Ottawa,"Support client, Dépannage, Windows OS"
Compagnie11,Analyste de données,Traitement et visualisation de grandes quantités de données.,77363,Ottawa,"SQL, Analyse de données, Tableau, BI, Excel"
Compagnie9,Administrateur de base de données,Gestion et maintenance des bases de données.,117188,Calgary,"SQL, MySQL, Oracle, DBMS"
Compagnie9,Analyste de données,Traitement et visualisation de grandes quantités de données.,57742,Vancouver,"SQL, Analyse de données, Tableau, BI, Excel"
Compagnie7,Data Scientist,Analyse de données complexes pour extraire des insights.,114733,Montréal,"Python, R, Machine Learning, Statistiques, SQL"
Compagnie17,Spécialiste en support technique,Assistance technique et résolution de problèmes.,71336,Calgary,"Support client, Dépannage, Windows OS"
Compagnie18,Ingénieur réseau,Mise en place et maintenance de réseaux informatiques.,116902,Ottawa,"Réseaux, TCP/IP, Sécurité réseau, Cisco, Juniper"
Compagnie9,Data Scientist,Analyse de données complexes pour extraire des insights.,49924,Ottawa,"Python, R, Machine Learning, Statistiques, SQL"
Compagnie4,Spécialiste en support technique,Assistance technique et résolution de problèmes.,61100,Québec,"Support client, Dépannage, Windows OS"
Compagnie11,Ingénieur réseau,Mise en place et maintenance de réseaux informatiques.,103697,Québec,"Réseaux, TCP/IP, Sécurité réseau, Cisco, Juniper"
Compagnie3,Administrateur de base de données,Gestion et maintenance des bases de données.,55871,Calgary,"SQL, MySQL, Oracle, DBMS"
Compagnie2,Spécialiste en cybersécurité,Gestion de la sécurité des systèmes informatiques.,80712,Calgary,"Sécurité réseau, Cryptographie, Firewall, VPN"
Compagnie18,Spécialiste en support technique,Assistance technique et résolution de problèmes.,85355,Toronto,"Support client, Dépannage, Windows OS"
Compagnie19,Data Scientist,Analyse de données complexes pour extraire des insights.,70679,Montréal,"Python, R, Machine Learning, Statistiques, SQL"
Compagnie10,Ingénieur réseau,Mise en place et maintenance de réseaux informatiques.,51494,Montréal,"Réseaux, TCP/IP, Sécurité réseau, Cisco, Juniper"
